Operators	Time
8	1457.50
9	1440.00
10	1587.00
12	1566.00
13	1548.00
14	1439.00
15	1522.50
16	1494.00
17	1576.50
18	1516.00
19	1485.00
20	1443.00
21	1595.00
22	1532.00
23	1559.50
24	1558.00
25	1591.50
26	1560.00
27	1585.50
28	1569.50
31	1592.00
