Operators	Time
8	47.00
9	44.00
10	46.00
12	48.00
13	48.00
14	48.00
15	45.50
16	48.00
17	51.50
18	50.00
19	51.00
20	50.00
21	52.00
22	50.00
23	52.00
24	53.00
25	54.00
26	55.00
27	54.00
28	58.50
31	60.00
