Operators	Time
8	80.00
9	93.00
10	81.00
12	107.50
13	97.50
14	101.00
15	103.50
16	114.00
17	113.50
18	113.50
19	124.00
20	142.00
21	119.00
22	132.50
23	138.00
24	130.00
25	139.00
26	145.00
27	146.00
28	158.00
31	162.00
