Operators	Time
5	440.00
6	758.00
7	1126.00
8	1446.00
9	1295.00
10	1142.00
12	1566.00
13	1546.00
14	1412.50
15	1472.00
16	1443.00
17	1568.00
18	1516.00
19	1484.50
20	1443.00
21	1568.00
22	1520.00
23	1559.50
24	1558.00
25	1591.50
26	1549.00
27	1585.50
28	1569.50
31	1592.00
32	1582.00
36	1745.50
37	1772.00
38	1612.50
39	1717.00
41	1548.00
46	1492.00
50	1999.00
53	1823.50
54	1689.00
55	1909.50
56	1740.50
57	1955.00
58	2066.00
60	1707.00
63	1981.00
66	1620.00
