Operators	Time
27	192.00
32	199.00
36	212.00
37	202.00
38	194.00
39	197.00
41	201.00
46	175.00
50	223.00
53	201.50
54	250.00
55	168.00
56	218.00
57	254.00
58	221.00
60	199.00
63	236.00
66	263.00
