Operators	Time
5	58.00
6	66.00
7	84.00
8	89.00
9	92.50
10	93.50
13	119.00
14	117.00
15	129.00
16	140.00
17	143.00
19	143.00
21	171.50
22	166.00
26	183.50
27	184.00
