Operators	Time
5	440.00
6	758.00
7	1126.00
8	1015.00
9	1050.00
10	1110.00
13	1041.00
14	1071.00
15	1130.50
16	1125.00
17	1352.00
19	1123.00
21	1186.00
22	1136.50
26	1177.00
27	1136.00
